,Year,StateAbbr,StateDesc,CityName,GeographicLevel,DataSource,Category,Measure,Data_Value_Unit,DataValueTypeID,Data_Value_Type,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,Data_Value_Footnote_Symbol,Data_Value_Footnote,PopulationCount,GeoLocation,CategoryID,MeasureId,CityFIPS,TractFIPS,Short_Question_Text,n_lat,n_lon,UniqueID,o_lat,o_lon,distance
0,2017,TN,Tennessee,Knoxville,Census Tract,BRFSS,Unhealthy Behaviors,No leisure-time physical activity among adults aged >=18 Years,%,CrdPrv,Crude prevalence,34.9,32.2,37.3,,,"2,451","(35.9541120412, -83.9603611106)",UNHBEH,LPA,4740000,47093002600.0,Physical Inactivity,35.123371427600006,-85.2493676609,4714000-47065010433,35.123371427600006,-85.2493676609,0.0
1,2017,TN,Tennessee,Clarksville,Census Tract,BRFSS,Unhealthy Behaviors,No leisure-time physical activity among adults aged >=18 Years,%,CrdPrv,Crude prevalence,34.6,31.9,37.1,,,"5,221","(36.4955960329, -87.3598454821)",UNHBEH,LPA,4715160,47125100300.0,Physical Inactivity,36.019984774499996,-83.94041545600001,4740000-47093004100,36.019984774499996,-83.94041545600001,0.0
2,2017,TN,Tennessee,Chattanooga,Census Tract,BRFSS,Unhealthy Behaviors,No leisure-time physical activity among adults aged >=18 Years,%,CrdPrv,Crude prevalence,23.0,20.8,25.3,,,"6,317","(35.1279296495, -85.2082336438)",UNHBEH,LPA,4714000,47065010432.0,Physical Inactivity,35.0553305719,-85.33306245979999,4714000-47065010901,35.0553305719,-85.33306245979999,0.0
3,2017,TN,Tennessee,Chattanooga,Census Tract,BRFSS,Unhealthy Behaviors,No leisure-time physical activity among adults aged >=18 Years,%,CrdPrv,Crude prevalence,26.9,24.4,29.5,,,"1,348","(35.0684524247, -85.3130794178)",UNHBEH,LPA,4714000,47065000800.0,Physical Inactivity,36.003541894,-83.9398730976,4740000-47093002900,36.003541894,-83.9398730976,0.0
4,2017,TN,Tennessee,Knoxville,Census Tract,BRFSS,Unhealthy Behaviors,No leisure-time physical activity among adults aged >=18 Years,%,CrdPrv,Crude prevalence,29.8,26.9,32.7,,,"4,313","(36.0123147591, -83.959901727)",UNHBEH,LPA,4740000,47093004000.0,Physical Inactivity,35.9985898898,-83.9728153766,4740000-47093003902,35.9985898898,-83.9728153766,0.0
5,2017,TN,Tennessee,Chattanooga,Census Tract,BRFSS,Unhealthy Behaviors,No leisure-time physical activity among adults aged >=18 Years,%,CrdPrv,Crude prevalence,48.2,45.4,50.9,,,"3,959","(35.0033611319, -85.3148223962)",UNHBEH,LPA,4714000,47065001900.0,Physical Inactivity,35.0186976032,-85.1689250956,4714000-47065011446,35.0186976032,-85.1689250956,0.0
6,2017,TN,Tennessee,Knoxville,Census Tract,BRFSS,Unhealthy Behaviors,No leisure-time physical activity among adults aged >=18 Years,%,CrdPrv,Crude prevalence,23.4,20.3,26.9,,,"1,605","(35.9649947463, -83.9204327044)",UNHBEH,LPA,4740000,47093000100.0,Physical Inactivity,35.969150888899996,-83.9026663609,4740000-47093006800,35.969150888899996,-83.9026663609,0.0
7,2017,TN,Tennessee,Chattanooga,Census Tract,BRFSS,Unhealthy Behaviors,No leisure-time physical activity among adults aged >=18 Years,%,CrdPrv,Crude prevalence,28.1,26.0,30.2,,,"3,704","(35.0413521415, -85.1811181849)",UNHBEH,LPA,4714000,47065011445.0,Physical Inactivity,36.0401815177,-83.9412230694,4740000-47093005000,36.0401815177,-83.9412230694,0.0
8,2017,TN,Tennessee,Knoxville,Census Tract,BRFSS,Unhealthy Behaviors,No leisure-time physical activity among adults aged >=18 Years,%,CrdPrv,Crude prevalence,,,,*,Estimates suppressed for population less than 50,7,"(35.866554415, -84.0779824941)",UNHBEH,LPA,4740000,47093005711.0,Physical Inactivity,35.9690594531,-83.9495877264,4740000,35.9690594531,-83.9495877264,0.0
9,2017,TN,Tennessee,Knoxville,Census Tract,BRFSS,Unhealthy Behaviors,No leisure-time physical activity among adults aged >=18 Years,%,CrdPrv,Crude prevalence,,,,*,Estimates suppressed for population less than 50,7,"(35.866554415, -84.0779824941)",UNHBEH,LPA,4740000,47093005711.0,Physical Inactivity,35.9690594531,-83.9495877264,4740000,35.9690594531,-83.9495877264,0.0
